"BusinessApiId"	"BusinessApiName"	"Term"	"TermType"	"SAPObjectMeaning"	"Source"	"PositiveOrNegative"	"Notes"
"API-02"	"Create DI"	"DELIVERY"	"BusinessTerm"	"Delivery document family"	"V17"	"POSITIVE"	""
"API-02"	"Create DI"	"DELIVERY INSTRUCTION"	"Synonym"	"Client term for the outbound delivery"	"GLOSSARY"	"POSITIVE"	"D-007: DI = SAP outbound delivery"
"API-02"	"Create DI"	"DI"	"Abbreviation"	"Delivery Instruction"	"GLOSSARY"	"POSITIVE"	"Too short to screen alone; used for review only"
"API-02"	"Create DI"	"LE SHP"	"ModulePrefix"	"LE shipping component services"	"SAPSTD"	"POSITIVE"	"Non-API_* namespace; LE_SHP_OD_CREATE_SRV is registered in QS4"
"API-02"	"Create DI"	"SHIPPING"	"BusinessTerm"	"LE-SHP shipping"	"SAPSTD"	"POSITIVE"	""
"API-02"	"Create DI"	"SALES ORDER"	"SAPObject"	"Trade/Non-trade predecessor"	"V17"	"POSITIVE"	""
"API-02"	"Create DI"	"STOCK TRANSPORT"	"SAPObject"	"STO predecessor for the STO flow"	"V17"	"POSITIVE"	""
"API-02"	"Create DI"	"DLV"	"Abbreviation"	"Delivery abbreviation in SAP object names"	"SAPSTD"	"POSITIVE"	""
"API-02"	"Create DI"	"CREATE DELIVERY"	"BusinessTerm"	"Delivery creation operation"	"V17"	"POSITIVE"	""
"API-02"	"Create DI"	"BAPI_OUTB_DELIVERY_CREATE"	"SAPBapi"	"Dossier candidate _SLS and _STO variants"	"DOSSIER"	"POSITIVE"	""
"API-02"	"Create DI"	"CUSTOMER RETURNS"	"NegativeKeyword"	"Returns delivery"	"HANDOVER"	"NEGATIVE"	"Already rejected in the 15-candidate set"
"API-02"	"Create DI"	"CREDIT BLOCK"	"NegativeKeyword"	"Credit-block worklist service"	"HANDOVER"	"NEGATIVE"	"Already rejected"
"API-03"	"Create Invoice / Billing Documents"	"BILLING"	"SAPObject"	"SD billing document"	"V17"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"BILLINGDOCUMENT"	"SAPObject"	"Unspaced billing document"	"SAPSTD"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"INVOICE"	"BusinessTerm"	"Invoice/billing output"	"V17"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"PGI"	"Abbreviation"	"Post Goods Issue"	"V17;GLOSSARY"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"GOODS ISSUE"	"BusinessTerm"	"PGI, movement 601"	"V17;DOSSIER"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"PICKING"	"BusinessTerm"	"Delivery picking step"	"SAPSTD"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"BATCH"	"BusinessTerm"	"Batch determination / FIFO allocation"	"V17;GLOSSARY"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"BATCH DETERMINATION"	"BusinessTerm"	"Batch selection strategy"	"V17"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"SHIPMENT"	"SAPObject"	"LE-TRA shipment document VTTK"	"V17;GLOSSARY"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"ACCOUNTING DOCUMENT"	"SAPObject"	"FI document from billing"	"V17"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"E-INVOICE"	"BusinessTerm"	"Statutory e-Invoice / IRN"	"V17"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"IRN"	"Abbreviation"	"Invoice Reference Number"	"V17;GLOSSARY"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"ODN"	"Abbreviation"	"Official Document Number - India GST invoice numbering"	"GLOSSARY"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"BAPI_BILLINGDOC_CREATEMULTIPLE"	"SAPBapi"	"Dossier A-19 billing candidate"	"DOSSIER"	"POSITIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"SELF-BILLING"	"NegativeKeyword"	"Self-billing / SBI process"	"HANDOVER"	"NEGATIVE"	"No CNF self-billing requirement"
"API-03"	"Create Invoice / Billing Documents"	"JOINT VENTURE"	"NegativeKeyword"	"JVA billing"	"HANDOVER"	"NEGATIVE"	""
"API-03"	"Create Invoice / Billing Documents"	"CHINA"	"NegativeKeyword"	"Country localization other than India"	"HANDOVER"	"NEGATIVE"	""
"API-04"	"Shipment Calculation"	"SHIPMENT COST"	"SAPObject"	"LE-TRA shipment cost document VFKK/VFKP"	"V17;DOSSIER"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"FREIGHT"	"BusinessTerm"	"Freight cost/charge"	"V17"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"TRANSPORT"	"BusinessTerm"	"Transportation process"	"V17"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"TRANSPORTATION"	"BusinessTerm"	"LE-TRA or TM"	"SAPSTD"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"SCMTMS"	"Namespace"	"SAP Transportation Management namespace /SCMTMS/"	"HANDOVER"	"POSITIVE"	"Screen it; do not auto-promote"
"API-04"	"Shipment Calculation"	"TM"	"ModulePrefix"	"Transportation Management projects"	"HANDOVER"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"LE TRA"	"ModulePrefix"	"Classic LE transportation"	"DOSSIER"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"ROUTE"	"BusinessTerm"	"Route/lead distance"	"GLOSSARY"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"CONDITION"	"BusinessTerm"	"Pricing condition record"	"V17;DOSSIER"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"PRICING"	"BusinessTerm"	"Pricing/rate determination"	"DOSSIER"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"BAPI_SHIPMENTCOST_CREATE"	"SAPBapi"	"Dossier A-17 candidate"	"DOSSIER"	"POSITIVE"	""
"API-04"	"Shipment Calculation"	"FREIGHT ORDER"	"NegativeKeyword"	"TM freight order object"	"HANDOVER"	"NEGATIVE"	"Different object from shipment-cost estimation"
"API-04"	"Shipment Calculation"	"PROCUREMENT"	"NegativeKeyword"	"Strategic freight procurement"	"HANDOVER"	"NEGATIVE"	""
"API-05"	"Stock Availability"	"MATERIAL STOCK"	"SAPObject"	"On-hand stock by plant/SLoc/batch"	"V17;HANDOVER"	"POSITIVE"	""
"API-05"	"Stock Availability"	"STOCK"	"BusinessTerm"	"Stock quantity"	"V17"	"POSITIVE"	""
"API-05"	"Stock Availability"	"AVAILABILITY"	"BusinessTerm"	"ATP availability"	"V17"	"POSITIVE"	""
"API-05"	"Stock Availability"	"AVAILY"	"Abbreviation"	"SAP abbreviation used in API_PRODUCT_AVAILY_INFO_BASIC"	"HANDOVER"	"POSITIVE"	""
"API-05"	"Stock Availability"	"ATP"	"Abbreviation"	"Available-to-Promise"	"DOSSIER"	"POSITIVE"	""
"API-05"	"Stock Availability"	"STORAGE LOCATION"	"SAPObject"	"T001L WERKS+LGORT"	"V17;GLOSSARY"	"POSITIVE"	""
"API-05"	"Stock Availability"	"PHYSICAL INVENTORY"	"SAPObject"	"PI document/count/difference"	"HANDOVER"	"POSITIVE"	"Comparator; broader than the v1.7 read"
"API-05"	"Stock Availability"	"AGEING"	"BusinessTerm"	"Stock ageing days - v1.7 StockAgeingDays"	"V17;SOR"	"POSITIVE"	""
"API-05"	"Stock Availability"	"AGING"	"Synonym"	"US spelling variant"	"SAPSTD"	"POSITIVE"	""
"API-05"	"Stock Availability"	"INVENTORY"	"BusinessTerm"	"Inventory management"	"V17"	"POSITIVE"	""
"API-05"	"Stock Availability"	"MARD"	"SAPTable"	"Storage-location stock"	"DOSSIER"	"POSITIVE"	""
"API-05"	"Stock Availability"	"MCHB"	"SAPTable"	"Batch stock"	"DOSSIER"	"POSITIVE"	""
"API-05"	"Stock Availability"	"PRODUCT ALLOCATION"	"NegativeKeyword"	"Allocation planning configuration"	"HANDOVER"	"NEGATIVE"	"Rejected false positive - not depot stock"
"API-06"	"E-Way Bill Extension"	"EWAY"	"BusinessTerm"	"E-Way Bill"	"V17"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"E-WAY"	"BusinessTerm"	"E-Way Bill spaced form"	"V17"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"EWB"	"Abbreviation"	"E-Way Bill"	"V17"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"EDOC"	"ModulePrefix"	"SAP eDocument framework"	"HANDOVER;GLOSSARY"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"EDOCUMENT"	"SAPObject"	"eDocument framework object"	"SAPSTD"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"DOCUMENT COMPLIANCE"	"BusinessTerm"	"SAP Document and Reporting Compliance"	"HANDOVER"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"DRC"	"Abbreviation"	"Document and Reporting Compliance"	"HANDOVER"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"GST"	"BusinessTerm"	"India Goods and Services Tax"	"V17;GLOSSARY"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"DIGIGST"	"Namespace"	"/DIGIGST/ third-party GST add-on - NOT SAP DRC"	"GLOSSARY"	"POSITIVE"	"D-017: EWB number read from /DIGIGST/OWARD_H-EWBNUMBER"
"API-06"	"E-Way Bill Extension"	"INDIA"	"BusinessTerm"	"India localization"	"GLOSSARY"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"GLO IN"	"Abbreviation"	"SAP globalization-India object-name suffix"	"SAPSTD"	"POSITIVE"	"e.g. FDP_GST_INV_GLO_IN"
"API-06"	"E-Way Bill Extension"	"E WAY"	"BusinessTerm"	"E-Way Bill, separated-token form"	"V17"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"EWAYBILL"	"BusinessTerm"	"E-Way Bill, unspaced form"	"V17"	"POSITIVE"	""
"API-06"	"E-Way Bill Extension"	"FORM DATA PROVIDER"	"NegativeKeyword"	"FDP_* form output, not a transaction API"	"HANDOVER"	"NEGATIVE"	""
"API-06"	"E-Way Bill Extension"	"FDP"	"NegativeKeyword"	"Form data provider prefix"	"HANDOVER"	"NEGATIVE"	"Screen but expect rejection"
"API-07"	"Invoice Correction"	"PART A"	"BusinessTerm"	"E-Way Bill transporter/distance area"	"V17;GLOSSARY"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"PART B"	"BusinessTerm"	"E-Way Bill vehicle area"	"V17;GLOSSARY"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"TRANSPORTER"	"BusinessTerm"	"Forwarding agent / transporter"	"V17"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"VEHICLE"	"BusinessTerm"	"Vehicle number on shipment/delivery"	"V17;GLOSSARY"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"CORRECTION"	"BusinessTerm"	"Correction operation"	"V17"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"CANCEL"	"BusinessTerm"	"Cancellation/reversal"	"V17"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"EDOC"	"ModulePrefix"	"eDocument correction path"	"V17"	"POSITIVE"	""
"API-07"	"Invoice Correction"	"CREDIT MEMO"	"NegativeKeyword"	"SD credit memo request"	"V17"	"NEGATIVE"	"v1.7 states explicitly: not a credit-memo API"
"API-07"	"Invoice Correction"	"DEBIT MEMO"	"NegativeKeyword"	"SD debit memo request"	"V17"	"NEGATIVE"	"Same exclusion as credit memo"
"API-08"	"STO Orders"	"PURCHASE ORDER"	"SAPObject"	"EKKO/EKPO purchasing document"	"V17;GLOSSARY"	"POSITIVE"	""
"API-08"	"STO Orders"	"PURCHASEORDER"	"SAPObject"	"Unspaced form"	"SAPSTD"	"POSITIVE"	""
"API-08"	"STO Orders"	"STOCK TRANSPORT"	"SAPObject"	"Stock transport order"	"V17"	"POSITIVE"	""
"API-08"	"STO Orders"	"STO"	"Abbreviation"	"Stock Transport Order"	"V17;GLOSSARY"	"POSITIVE"	"Beware STG shortage bucket - unrelated token"
"API-08"	"STO Orders"	"PURCHASING"	"BusinessTerm"	"MM purchasing area"	"SAPSTD"	"POSITIVE"	""
"API-08"	"STO Orders"	"INTRA-WAREHOUSE"	"Synonym"	"Client term for plant-to-depot STO"	"GLOSSARY"	"POSITIVE"	"D-045: despite the name it is an STO"
"API-08"	"STO Orders"	"ZP06"	"BusinessTerm"	"Documented STO PO document type"	"V17"	"POSITIVE"	"Must be system-validated"
"API-09"	"STO Deliveries"	"OUTBOUND DELIVERY"	"SAPObject"	"Delivery whose predecessor is an STO PO"	"V17"	"POSITIVE"	""
"API-09"	"STO Deliveries"	"DELIVERY"	"BusinessTerm"	"Delivery document"	"V17"	"POSITIVE"	""
"API-09"	"STO Deliveries"	"DOCUMENT FLOW"	"BusinessTerm"	"VBFA predecessor/successor chain"	"V17;GLOSSARY"	"POSITIVE"	""
"API-09"	"STO Deliveries"	"STOCK TRANSPORT"	"SAPObject"	"STO predecessor"	"V17"	"POSITIVE"	""
"API-10"	"STO Invoice"	"BILLING"	"SAPObject"	"SD billing document candidate"	"V17"	"POSITIVE"	""
"API-10"	"STO Invoice"	"INVOICE"	"BusinessTerm"	"Invoice document"	"V17"	"POSITIVE"	""
"API-10"	"STO Invoice"	"SUPPLIER INVOICE"	"SAPObject"	"MM supplier invoice candidate"	"HANDOVER"	"POSITIVE"	""
"API-10"	"STO Invoice"	"SUPPLIERINVOICE"	"SAPObject"	"Unspaced form"	"SAPSTD"	"POSITIVE"	""
"API-10"	"STO Invoice"	"INTERCOMPANY"	"BusinessTerm"	"Intercompany billing candidate"	"V17"	"POSITIVE"	""
"API-10"	"STO Invoice"	"STOCK TRANSFER"	"BusinessTerm"	"GST stock-transfer invoice candidate"	"V17"	"POSITIVE"	""
"API-10"	"STO Invoice"	"INVOICE VERIFICATION"	"BusinessTerm"	"MM logistics invoice verification"	"SAPSTD"	"POSITIVE"	""
"API-11"	"Create STO Purchase Order"	"PURCHASE ORDER"	"SAPObject"	"Create STO PO"	"V17"	"POSITIVE"	""
"API-11"	"Create STO Purchase Order"	"PURCHASEORDER"	"SAPObject"	"Unspaced form"	"SAPSTD"	"POSITIVE"	""
"API-11"	"Create STO Purchase Order"	"PURCHASE REQUISITION"	"SAPObject"	"v1.7 RequisitionNumber field"	"V17"	"POSITIVE"	"Requisition captured in the Figma modal"
"API-11"	"Create STO Purchase Order"	"PURCHASEREQ"	"SAPObject"	"Unspaced requisition form"	"SAPSTD"	"POSITIVE"	""
"API-11"	"Create STO Purchase Order"	"STOCK TRANSPORT"	"SAPObject"	"STO document type"	"V17"	"POSITIVE"	""
"API-11"	"Create STO Purchase Order"	"PURCHASING"	"BusinessTerm"	"MM purchasing"	"SAPSTD"	"POSITIVE"	""
"API-12"	"Update DI Quantity"	"OUTBOUND DELIVERY"	"SAPObject"	"Delivery to change"	"V17"	"POSITIVE"	""
"API-12"	"Update DI Quantity"	"DELIVERY CHANGE"	"BusinessTerm"	"Delivery modification"	"DOSSIER"	"POSITIVE"	""
"API-12"	"Update DI Quantity"	"BAPI_OUTB_DELIVERY_CHANGE"	"SAPBapi"	"Dossier A-11 candidate, bapiobdlv* family"	"DOSSIER"	"POSITIVE"	""
"API-12"	"Update DI Quantity"	"DELIVERY"	"BusinessTerm"	"Delivery document"	"V17"	"POSITIVE"	""
